update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
160,train,8.197623171532962,,3.2200000000000003e-05,11958.140095839208,1.0213357210159302,1.0,5898240,2025-09-10T13:34:56.723461+00:00Z
161,train,8.189337847940457,,3.24e-05,11957.730640166264,1.0186249017715454,1.0,5935104,2025-09-10T13:34:59.808767+00:00Z
162,train,8.17041606752187,,3.26e-05,11957.968090670372,1.0964643955230713,1.0,5971968,2025-09-10T13:35:02.892330+00:00Z
163,train,8.151483896804839,,3.2800000000000004e-05,11958.361558863602,1.0584410429000854,1.0,6008832,2025-09-10T13:35:05.976637+00:00Z
164,train,8.129359439104487,,3.3e-05,11959.885698657152,1.1262084245681763,1.0,6045696,2025-09-10T13:35:09.059378+00:00Z
165,train,8.112695689579567,,3.32e-05,11957.539297829066,1.0705695152282715,1.0,6082560,2025-09-10T13:35:12.145711+00:00Z
166,train,8.088852365834166,,3.34e-05,11957.592677878492,1.1653058528900146,1.0,6119424,2025-09-10T13:35:15.230556+00:00Z
167,train,8.080116379281268,,3.36e-05,11957.8179483631,0.992189884185791,1.0,6156288,2025-09-10T13:35:18.315166+00:00Z
168,train,8.058472408074485,,3.3799999999999995e-05,11958.171138411473,0.9899188280105591,1.0,6193152,2025-09-10T13:35:21.399554+00:00Z
169,train,8.04327019442768,,3.4000000000000007e-05,11959.146575834777,0.9850093126296997,1.0,6230016,2025-09-10T13:35:24.483050+00:00Z
170,train,8.023123279717426,,3.4200000000000005e-05,11959.13820804001,0.9346289038658142,1.0,6266880,2025-09-10T13:35:27.567600+00:00Z
171,train,8.017383398568803,,3.44e-05,11958.99240405952,0.8849751353263855,1.0,6303744,2025-09-10T13:35:30.652289+00:00Z
172,train,7.999224801620401,,3.46e-05,11958.296557586365,0.9576218724250793,1.0,6340608,2025-09-10T13:35:33.737726+00:00Z
173,train,7.988013916993639,,3.48e-05,11958.556615960148,0.8736807703971863,1.0,6377472,2025-09-10T13:35:36.822112+00:00Z
174,train,7.964764845774622,,3.5000000000000004e-05,11958.356225151274,0.9831885099411011,1.0,6414336,2025-09-10T13:35:39.906021+00:00Z
175,train,7.953352593546556,,3.52e-05,11957.687040694305,0.8694241642951965,1.0,6451200,2025-09-10T13:35:42.991586+00:00Z
176,train,7.937198337762457,,3.54e-05,11955.525754560125,0.8958023190498352,1.0,6488064,2025-09-10T13:35:46.077245+00:00Z
177,train,7.92766127900681,,3.56e-05,11955.789503505634,0.8363487124443054,1.0,6524928,2025-09-10T13:35:49.162336+00:00Z
178,train,7.91772532984377,,3.5799999999999996e-05,11955.714824268562,0.9164515137672424,1.0,6561792,2025-09-10T13:35:52.246796+00:00Z
179,train,7.89346353284801,,3.6e-05,11956.766374313343,0.8617594242095947,1.0,6598656,2025-09-10T13:35:55.330824+00:00Z
180,train,7.887858641793891,,3.6200000000000006e-05,11960.340477875085,0.7539466619491577,1.0,6635520,2025-09-10T13:35:58.411339+00:00Z
181,train,7.873507642135529,,3.6400000000000004e-05,11963.260413557518,0.7859850525856018,1.0,6672384,2025-09-10T13:36:01.490772+00:00Z
182,train,7.850877425121225,,3.66e-05,11968.166447782522,0.8579978942871094,1.0,6709248,2025-09-10T13:36:04.566903+00:00Z
183,train,7.830822736960909,,3.68e-05,11972.339644154305,0.7925813794136047,1.0,6746112,2025-09-10T13:36:07.643720+00:00Z
184,train,7.825285498150224,,3.7e-05,11979.280307902784,0.7352315783500671,1.0,6782976,2025-09-10T13:36:10.715926+00:00Z
185,train,7.801325080258877,,3.7199999999999996e-05,11985.771775930547,0.8298105597496033,1.0,6819840,2025-09-10T13:36:13.785927+00:00Z
186,train,7.791579852220325,,3.74e-05,11993.03794711314,0.7266895174980164,1.0,6856704,2025-09-10T13:36:16.854286+00:00Z
187,train,7.779658588513948,,3.76e-05,11998.637591545217,0.7056205868721008,1.0,6893568,2025-09-10T13:36:19.921914+00:00Z
188,train,7.786152547072069,,3.7800000000000004e-05,12003.266663959457,0.6679621338844299,1.0,6930432,2025-09-10T13:36:22.989351+00:00Z
189,train,7.7805321205890445,,3.8e-05,12006.148221644384,0.7841713428497314,1.0,6967296,2025-09-10T13:36:26.057837+00:00Z
190,train,7.777702723971271,,3.82e-05,12008.372206621076,0.6811516284942627,1.0,7004160,2025-09-10T13:36:29.126425+00:00Z
191,train,7.766063351957139,,3.84e-05,12009.508784309703,0.7380045652389526,1.0,7041024,2025-09-10T13:36:32.197033+00:00Z
192,train,7.76340840416682,,3.86e-05,12012.20236599332,0.7044256925582886,1.0,7077888,2025-09-10T13:36:35.265168+00:00Z
193,train,7.7451307132023475,,3.88e-05,12011.250302845634,0.9254381060600281,1.0,7114752,2025-09-10T13:36:38.337269+00:00Z
194,train,7.718309988454989,,3.9e-05,12008.429084105659,0.7656518816947937,1.0,7151616,2025-09-10T13:36:41.412007+00:00Z
195,train,7.709902074822198,,3.92e-05,11815.190014182133,0.6779480576515198,1.0,7188480,2025-09-10T13:36:44.751465+00:00Z
196,train,7.703789127071271,,3.9399999999999995e-05,11848.513807635734,0.6079789400100708,1.0,7225344,2025-09-10T13:36:47.829133+00:00Z
197,train,7.694617639958474,,3.960000000000001e-05,11875.55191650169,0.6401143670082092,1.0,7262208,2025-09-10T13:36:50.906313+00:00Z
198,train,7.681173692029368,,3.9800000000000005e-05,11898.277767369476,0.686289370059967,1.0,7299072,2025-09-10T13:36:53.983107+00:00Z
199,train,7.6657562463417515,,4e-05,11915.586387379626,0.6037600636482239,1.0,7335936,2025-09-10T13:36:57.061007+00:00Z
200,train,7.663458389842647,,4.02e-05,11928.32015377335,0.6436826586723328,1.0,7372800,2025-09-10T13:37:00.140334+00:00Z
201,train,7.673145201329116,,4.04e-05,11937.184048526644,0.5960543155670166,1.0,7409664,2025-09-10T13:37:03.220358+00:00Z
202,train,7.656674563756934,,4.06e-05,11943.061674949771,0.6785334944725037,1.0,7446528,2025-09-10T13:37:06.301942+00:00Z
203,train,7.6410523592275545,,4.08e-05,11947.63004878287,0.6225757598876953,1.0,7483392,2025-09-10T13:37:09.384723+00:00Z
204,train,7.63920103956838,,4.1e-05,11950.811080767839,0.6178237199783325,1.0,7520256,2025-09-10T13:37:12.468097+00:00Z
